process_id	process_name	process_type	strain_used	organism_used	growth_conditions	ree_concentration	contact_time	pH	temperature	competing_ions	process_parameters	optimization_history	Download URL	source
Custom_biosorption_from_1-s2.0-S3051059725000028-main	Biosorption process from 1-s2.0-S3051059725000028-main	biosorption									"{""source"": ""Extracted from 1-s2.0-S3051059725000028-main""}"			1-s2.0-S3051059725000028-main
Custom_bioaccumulation_from_1-s2.0-S3051059725000028-main	Bioaccumulation process from 1-s2.0-S3051059725000028-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S3051059725000028-main""}"			1-s2.0-S3051059725000028-main
Custom_biosorption_from_journal.pone.0303904	Biosorption process from journal.pone.0303904	biosorption									"{""source"": ""Extracted from journal.pone.0303904""}"			journal.pone.0303904
Custom_bioaccumulation_from_doi_10_3390-toxics11121001	Bioaccumulation process from doi_10_3390-toxics11121001	bioaccumulation									"{""source"": ""Extracted from doi_10_3390-toxics11121001""}"			doi_10_3390-toxics11121001
Custom_biosorption_from_1-s2.0-S0304389423025013-main	Biosorption process from 1-s2.0-S0304389423025013-main	biosorption									"{""source"": ""Extracted from 1-s2.0-S0304389423025013-main""}"			1-s2.0-S0304389423025013-main
Custom_bioaccumulation_from_1-s2.0-S0304389423025013-main	Bioaccumulation process from 1-s2.0-S0304389423025013-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S0304389423025013-main""}"			1-s2.0-S0304389423025013-main
Custom_biosorption_from_PMID_35217058	Biosorption process from PMID_35217058	biosorption									"{""source"": ""Extracted from PMID_35217058""}"			10.1016/j.scitotenv.2022.153669.
Custom_biosorption_from_1-s2.0-S0048969724031437-main	Biosorption process from 1-s2.0-S0048969724031437-main	biosorption									"{""source"": ""Extracted from 1-s2.0-S0048969724031437-main""}"			1-s2.0-S0048969724031437-main
Custom_bioaccumulation_from_1-s2.0-S0048969724031437-main	Bioaccumulation process from 1-s2.0-S0048969724031437-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S0048969724031437-main""}"			1-s2.0-S0048969724031437-main
Custom_biomineralization_from_1-s2.0-S030438942403005X-main	Biomineralization process from 1-s2.0-S030438942403005X-main	biomineralization									"{""source"": ""Extracted from 1-s2.0-S030438942403005X-main""}"			1-s2.0-S030438942403005X-main
Custom_bioaccumulation_from_1-s2.0-S030438942403005X-main	Bioaccumulation process from 1-s2.0-S030438942403005X-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S030438942403005X-main""}"			1-s2.0-S030438942403005X-main
Custom_biosorption_from_doi_10_1371-journal_pone_0303904	Biosorption process from doi_10_1371-journal_pone_0303904	biosorption									"{""source"": ""Extracted from doi_10_1371-journal_pone_0303904""}"			doi_10_1371-journal_pone_0303904
Custom_bioaccumulation_from_toxics-11-01001	Bioaccumulation process from toxics-11-01001	bioaccumulation									"{""source"": ""Extracted from toxics-11-01001""}"			toxics-11-01001
Custom_biosorption_from_Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	Biosorption process from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	biosorption									"{""source"": ""Extracted from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro""}"			10.1039/D4VA00359D
Custom_bioaccumulation_from_Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	Bioaccumulation process from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro	bioaccumulation									"{""source"": ""Extracted from Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro""}"			10.1039/D4VA00359D
Custom_biosorption_from_d5va00106d	Biosorption process from d5va00106d	biosorption									"{""source"": ""Extracted from d5va00106d""}"			10.1039/d5va00106d
Custom_bioaccumulation_from_d5va00106d	Bioaccumulation process from d5va00106d	bioaccumulation									"{""source"": ""Extracted from d5va00106d""}"			10.1039/d5va00106d
Custom_biosorption_from_s11756-024-01654-0	Biosorption process from s11756-024-01654-0	biosorption									"{""source"": ""Extracted from s11756-024-01654-0""}"			s11756-024-01654-0
Custom_bioaccumulation_from_s11756-024-01654-0	Bioaccumulation process from s11756-024-01654-0	bioaccumulation									"{""source"": ""Extracted from s11756-024-01654-0""}"			s11756-024-01654-0
Custom_bioaccumulation_from_sustainability-15-14000	Bioaccumulation process from sustainability-15-14000	bioaccumulation									"{""source"": ""Extracted from sustainability-15-14000""}"			sustainability-15-14000
Custom_bioaccumulation_from_PMID_34780734	Bioaccumulation process from PMID_34780734	bioaccumulation									"{""source"": ""Extracted from PMID_34780734""}"			10.1016/j.chemosphere.2021.132892.
Custom_bioaccumulation_from_1-s2.0-S0304389425027992-main	Bioaccumulation process from 1-s2.0-S0304389425027992-main	bioaccumulation									"{""source"": ""Extracted from 1-s2.0-S0304389425027992-main""}"			1-s2.0-S0304389425027992-main
Custom_bioaccumulation_from_defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6	Bioaccumulation process from defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6	bioaccumulation									"{""source"": ""Extracted from defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6""}"			10.1021/acs.est.9b04047
Custom_bioaccumulation_from_Unique_adaptations_of_a_photosynthetic_microbe_Rho	Bioaccumulation process from Unique_adaptations_of_a_photosynthetic_microbe_Rho	bioaccumulation									"{""source"": ""Extracted from Unique_adaptations_of_a_photosynthetic_microbe_Rho""}"			10.1039/D5VA00106D
