scientific_name	ncbi_taxon_id	genome_identifier	annotation_download_url	source	paper_reference
Stenotrophomonas acidaminiphila and				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas acidaminiphila				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas acidaminiphila strain				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas strains capable				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas as the				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas acidaminiphila to				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas as a				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas acidaminiphila is				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Stenotrophomonas 
acidaminiphila 
OA1"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Stenotrophomonas in diversified				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
"Acidimicrobium sp. 
S"				1-s2.0-S3051059725000028-main	1-s2.0-S3051059725000028-main
Hyphomicrobium sp. MC1				journal.pone.0303904	journal.pone.0303904
"Hyphomicrobium sp.
MC8"				journal.pone.0303904	journal.pone.0303904
Hyphomicrobium sp. S				journal.pone.0303904	journal.pone.0303904
Hyphomicrobium sp. MC8				journal.pone.0303904	journal.pone.0303904
Pseudomonas mosselii 5				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas mosselii strain				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
"Pseudomonas
strains across"				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas genomes is				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas mosselii DSM17497T				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas genomes possess				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas genomes encode				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
"Pseudomonas
Strains"				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas putida in				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas Genome				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas genomes in				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas genome database				doi_10_3390-toxics11121001	doi_10_3390-toxics11121001
Pseudomonas stutzeri and				1-s2.0-S0304389423025013-main	1-s2.0-S0304389423025013-main
Pseudomonas stutzeri ADP				1-s2.0-S0304389423025013-main	1-s2.0-S0304389423025013-main
"Acidimicrobium 
sp"				1-s2.0-S0304389423025013-main	1-s2.0-S0304389423025013-main
Dehalococcoides and Acidimicrobiaceae				1-s2.0-S0048969724069584-main	1-s2.0-S0048969724069584-main
"Acidimicrobium sp.
S"				1-s2.0-S0048969724069584-main	1-s2.0-S0048969724069584-main
Pseudomonas sp. 36DCP				doi_10_1134-S0003683817050027	doi_10_1134-S0003683817050027
Dehalococcoides and Dehalogenimonas				1-s2.0-S0048969724031437-main	1-s2.0-S0048969724031437-main
"Dehalococcoides 
can drive"				1-s2.0-S0048969724031437-main	1-s2.0-S0048969724031437-main
Dehalococcoides 16S ribosomal				1-s2.0-S0048969724031437-main	1-s2.0-S0048969724031437-main
Acidimicrobiaceae sp. I				1-s2.0-S0048969724031437-main	1-s2.0-S0048969724031437-main
"Pseudomonas aeruginosa
directly"				pseudomonas-sp-strain-273-metabolizes-decanes-with-poly-or-perfluorinated-carbons	pseudomonas-sp-strain-273-metabolizes-decanes-with-poly-or-perfluorinated-carbons
"Dehalococcoides
strains"				pseudomonas-sp-strain-273-metabolizes-decanes-with-poly-or-perfluorinated-carbons	pseudomonas-sp-strain-273-metabolizes-decanes-with-poly-or-perfluorinated-carbons
Cupriavidus sp. W12				1-s2.0-S030438942403005X-main	1-s2.0-S030438942403005X-main
"Pseudomonas
mosselii 5"				toxics-11-01001	toxics-11-01001
"Pseudomonas
parafulva YAB"				toxics-11-01001	toxics-11-01001
Pseudomonas Genome Database				toxics-11-01001	toxics-11-01001
Pseudomonas plecoglossicida and				10.1134/S0003683817050027	S0003683817050027
Pseudomonas parafulva NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas fulva NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas plecoglossicida NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas monteilii NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas taiwanensis BCRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas guariconensis PCAVU11				10.1134/S0003683817050027	S0003683817050027
Pseudomonas entomophila L48				10.1134/S0003683817050027	S0003683817050027
Pseudomonas mosselii CIP				10.1134/S0003683817050027	S0003683817050027
Pseudomonas soli F				10.1134/S0003683817050027	S0003683817050027
Pseudomonas japonica NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas cremoricolorata IAM				10.1134/S0003683817050027	S0003683817050027
Pseudomonas putida NBRC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas asplenii LMG				10.1134/S0003683817050027	S0003683817050027
Pseudomonas fuscovaginae ICMP				10.1134/S0003683817050027	S0003683817050027
Pseudomonas songnenensis NEAU				10.1134/S0003683817050027	S0003683817050027
Pseudomonas ﬂavescens B62				10.1134/S0003683817050027	S0003683817050027
Pseudomonas punonensis LMTO3				10.1134/S0003683817050027	S0003683817050027
Pseudomonas seleniipraecipitans CA5				10.1134/S0003683817050027	S0003683817050027
Pseudomonas kuykendallii H2				10.1134/S0003683817050027	S0003683817050027
Pseudomonas benzenivorans DSM				10.1134/S0003683817050027	S0003683817050027
Pseudomonas lutea DSM				10.1134/S0003683817050027	S0003683817050027
Pseudomonas graminis DSM				10.1134/S0003683817050027	S0003683817050027
Pseudomonas coleopterorum Esc2Am				10.1134/S0003683817050027	S0003683817050027
Pseudomonas rhizosphaerae DSM				10.1134/S0003683817050027	S0003683817050027
Pseudomonas vancouverensis ATCC				10.1134/S0003683817050027	S0003683817050027
Pseudomonas moorei RW10				10.1134/S0003683817050027	S0003683817050027
Pseudomonas umsongensis Ps				10.1134/S0003683817050027	S0003683817050027
Pseudomonas mohnii lpa				10.1134/S0003683817050027	S0003683817050027
Pseudomonas koreensis Ps				10.1134/S0003683817050027	S0003683817050027
Pseudomonas jessenii CIP				10.1134/S0003683817050027	S0003683817050027
Pseudomonas helmanticensis OHA11				10.1134/S0003683817050027	S0003683817050027
Pseudomonas baetica a390				10.1134/S0003683817050027	S0003683817050027
Pseudomonas sp. 2				10.1134/S0003683817050027	S0003683817050027
Pseudomonas aeruginosa isolates				10.1039/D4VA00359D	Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro
Pseudomonas aeruginosa strains				10.1039/D4VA00359D	Per-_and_polyfluoroalkyl_substances_PFAS_as_enviro
Pseudomonas parafulva				10.1039/d5va00106d	d5va00106d
Dechloromonas sp. CZR5				10.1039/d5va00106d	d5va00106d
"Pseudomonas
sp.
S"				10.1039/d5va00106d	d5va00106d
"Synechocystis
sp. PCC"				10.1039/d5va00106d	d5va00106d
"Pseudomonas 
resources would"				s11756-024-01654-0	s11756-024-01654-0
Pseudomonas species with				s11756-024-01654-0	s11756-024-01654-0
"Pseudomonas Strains
Florentina"				sustainability-15-14000	sustainability-15-14000
"Pseudomonas
aeruginosa and"				sustainability-15-14000	sustainability-15-14000
Pseudomonas putida managed				sustainability-15-14000	sustainability-15-14000
"Pseudomonas
putida"				sustainability-15-14000	sustainability-15-14000
"Pseudomonas
aeruginosa strain"				sustainability-15-14000	sustainability-15-14000
"Pseudomonas aeruginosa
strain"				sustainability-15-14000	sustainability-15-14000
"Pseudomonas bacteria
strains"				sustainability-15-14000	sustainability-15-14000
"Pseudomonas Strains
Since"				sustainability-15-14000	sustainability-15-14000
Pseudomonas strains consisted				sustainability-15-14000	sustainability-15-14000
"Pseudomonas
strains"				sustainability-15-14000	sustainability-15-14000
Pseudomonas chains was				sustainability-15-14000	sustainability-15-14000
Pseudomonas plecoglossicida				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Rhodococcus in the				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Rhodococcus and Rhodoplanes				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Rhodococcus was documented				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Gordonia sp. NB4				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Streptomyces sp. I				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Bacillus sp. K				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Rhizobium sp. JF3				1-s2.0-S0304389425027992-main	1-s2.0-S0304389425027992-main
Pseudomonas aeruginosa over				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
"Acidimicrobium
and Aciditerrimonas"				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
"Acidimicrobium was
dominant"				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
Acidimicrobium decreased in				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
Acidimicrobium population in				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
Acidimicrobiaceae sp A6				10.1021/acs.est.9b04047	defluorination-of-perfluorooctanoic-acid-(pfoa)-and-perfluorooctane-sulfonate-(pfos)-by-acidimicrobium-sp-strain-a6
