Reaction identifier	Equation	Enzyme class	ec_number	rhea_id	linked_genes	url	reaction_category	source
RHEA:15381	quercetin + O2 = 2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate + CO	EC:1.13.11.24 quercetin 2,3-dioxygenase	EC:1.13.11.24	RHEA:15381	K00517;custom_catA	https://www.rhea-db.org/rhea/15381	oxygenase_cometabolism	reactions_excel
RHEA:17949	3-hydroxy-1H-quinolin-4-one + O2 = N-formylanthranilate + CO + H(+)	EC:1.13.11.47 3-hydroxy-4-oxoquinoline 2,4-dioxygenase	EC:1.13.11.47	RHEA:17949	K00517;custom_catA	https://www.rhea-db.org/rhea/17949	oxygenase_cometabolism	reactions_excel
RHEA:21040	CO + 2 oxidized [2Fe-2S]-[ferredoxin] + H2O = 2 reduced [2Fe-2S]-[ferredoxin] + CO2 + 2 H(+)	EC:1.2.7.4 anaerobic carbon-monoxide dehydrogenase	EC:1.2.7.4	RHEA:21040		https://www.rhea-db.org/rhea/21040	oxygenase_cometabolism	reactions_excel
RHEA:21572	3-hydroxy-2-methyl-1H-quinolin-4-one + O2 = N-acetylanthranilate + CO + H(+)	EC:1.13.11.48 3-hydroxy-2-methylquinolin-4-one 2,4-dioxygenase	EC:1.13.11.48	RHEA:21572	K00517;custom_catA	https://www.rhea-db.org/rhea/21572	oxygenase_cometabolism	reactions_excel
RHEA:21764	heme b + 3 reduced [NADPH--hemoprotein reductase] + 3 O2 = biliverdin IXalpha + CO + Fe(2+) + 3 oxidized [NADPH--hemoprotein reductase] + 3 H2O + H(+)	EC:1.14.14.18 heme oxygenase (biliverdin-producing)	EC:1.14.14.18	RHEA:21764		https://www.rhea-db.org/rhea/21764	oxygenase_cometabolism	reactions_excel
RHEA:33503	itraconazole(in) + ATP + H2O = itraconazole(out) + ADP + phosphate + H(+)			RHEA:33503		https://www.rhea-db.org/rhea/33503	oxygenase_cometabolism	reactions_excel
RHEA:61912	voriconazole(in) + ATP + H2O = voriconazole(out) + ADP + phosphate + H(+)			RHEA:61912		https://www.rhea-db.org/rhea/61912	oxygenase_cometabolism	reactions_excel
RHEA:61916	fluconazole(in) + ATP + H2O = fluconazole(out) + ADP + phosphate + H(+)			RHEA:61916		https://www.rhea-db.org/rhea/61916	oxygenase_cometabolism	reactions_excel
RHEA:62276	3 (R)-2-hydroxy-3-methylbutyrate + 3 L-phenylalanine + 3 S-adenosyl-L-methionine + 6 ATP = beauvericin + 6 AMP + 3 S-adenosyl-L-homocysteine + 6 diphosphate + 6 H(+)			RHEA:62276		https://www.rhea-db.org/rhea/62276	oxygenase_cometabolism	reactions_excel
RHEA:73259	cirsiliol + S-adenosyl-L-methionine = eupatorin + S-adenosyl-L-homocysteine + H(+)			RHEA:73259		https://www.rhea-db.org/rhea/73259	oxygenase_cometabolism	reactions_excel
RHEA:41464	ent-sandaracopimara-8(14),15-diene + reduced [NADPH--hemoprotein reductase] + O2 = ent-sandaracopimaradien-3beta-ol + oxidized [NADPH--hemoprotein reductase] + H2O + H(+)	EC:1.14.14.70 ent-sandaracopimaradiene 3-hydroxylase	EC:1.14.14.70	RHEA:41464		https://www.rhea-db.org/rhea/41464	oxygenase_cometabolism	reactions_excel
RHEA:68876	piperonylate + ATP + NADPH + H(+) = piperonal + AMP + diphosphate + NADP(+)			RHEA:68876		https://www.rhea-db.org/rhea/68876	oxygenase_cometabolism	reactions_excel
RHEA:24040	2 oxidized [cytochrome P450] + NADPH = 2 reduced [cytochrome P450] + NADP(+) + H(+)	EC:1.6.2.4 NADPH--hemoprotein reductase	EC:1.6.2.4	RHEA:24040		https://www.rhea-db.org/rhea/24040	oxygenase_cometabolism	reactions_excel
RHEA:57420	2 oxidized [cytochrome P450] + NADH = 2 reduced [cytochrome P450] + NAD(+) + H(+)			RHEA:57420		https://www.rhea-db.org/rhea/57420	oxygenase_cometabolism	reactions_excel
RHEA:16737	toluene + NADH + O2 + H(+) = (1S,2R)-3-methylcyclohexa-3,5-diene-1,2-diol + NAD(+)	EC:1.14.12.11 toluene dioxygenase	EC:1.14.12.11	RHEA:16737	custom_nahAc	https://www.rhea-db.org/rhea/16737	oxygenase_cometabolism	reactions_excel
RHEA:19341	octane + 2 reduced [rubredoxin] + O2 + 2 H(+) = 2 oxidized [rubredoxin] + octan-1-ol + H2O	EC:1.14.15.3 alkane 1-monooxygenase	EC:1.14.15.3	RHEA:19341	K00446	https://www.rhea-db.org/rhea/19341	oxygenase_cometabolism	reactions_excel
RHEA:23064	an alkanesulfonate + FMNH2 + O2 = an aldehyde + FMN + sulfite + H2O + 2 H(+)	EC:1.14.14.5 alkanesulfonate monooxygenase	EC:1.14.14.5	RHEA:23064		https://www.rhea-db.org/rhea/23064	oxygenase_cometabolism	reactions_excel
RHEA:26077	methanesulfonate + NADH + O2 = sulfite + formaldehyde + NAD(+) + H2O	EC:1.14.13.111 methanesulfonate monooxygenase (NADH)	EC:1.14.13.111	RHEA:26077	K00493	https://www.rhea-db.org/rhea/26077	oxygenase_cometabolism	reactions_excel
RHEA:30299	a methylated nucleobase within DNA + 2-oxoglutarate + O2 = a nucleobase within DNA + formaldehyde + succinate + CO2	EC:1.14.11.33 DNA oxidative demethylase	EC:1.14.11.33	RHEA:30299		https://www.rhea-db.org/rhea/30299	oxygenase_cometabolism	reactions_excel
