Reaction identifier	Equation	Enzyme class	ec_number	rhea_id	linked_genes	url	Note	reaction_category	source
RHEA:29799	D-allose(out) + ATP + H2O = D-allose(in) + ADP + phosphate + H(+)	EC:7.5.2.8 ABC-type D-allose transporter	EC:7.5.2.8	RHEA:29799	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/29799	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:29899	D-xylose(out) + ATP + H2O = D-xylose(in) + ADP + phosphate + H(+)	EC:7.5.2.10 ABC-type D-xylose transporter;EC:7.5.2.13 ABC-type D-xylose/L-arabinose transporter	EC:7.5.2.10;EC:7.5.2.13	RHEA:29899	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/29899	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:29903	D-ribose(out) + ATP + H2O = D-ribose(in) + ADP + phosphate + H(+)	EC:7.5.2.7 ABC-type D-ribose transporter	EC:7.5.2.7	RHEA:29903	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/29903	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:30007	L-arabinose(out) + ATP + H2O = L-arabinose(in) + ADP + phosphate + H(+)	EC:7.5.2.12 ABC-type L-arabinose transporter;EC:7.5.2.13 ABC-type D-xylose/L-arabinose transporter	EC:7.5.2.12;EC:7.5.2.13	RHEA:30007	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/30007	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:60156	D-galactose(out) + ATP + H2O = D-galactose(in) + ADP + phosphate + H(+)	EC:7.5.2.11 ABC-type D-galactose transporter	EC:7.5.2.11	RHEA:60156	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/60156	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:61716	D-galactofuranose(out) + ATP + H2O = D-galactofuranose(in) + ADP + phosphate + H(+)	EC:7.5.2.9 ABC-type D-galactofuranose transporter	EC:7.5.2.9	RHEA:61716	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/61716	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:18453	[(1->2)-beta-D-glucosyl](n)(in) + ATP + H2O = [(1->2)-beta-D-glucosyl](n)(out) + ADP + phosphate + H(+)	EC:7.5.2.3 ABC-type beta-glucan transporter	EC:7.5.2.3	RHEA:18453	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/18453	ABC trasnporter	fluoride_resistance	reactions_excel
RHEA:22132	D-maltose(out) + ATP + H2O = D-maltose(in) + ADP + phosphate + H(+)	EC:7.5.2.1 ABC-type maltose transporter	EC:7.5.2.1	RHEA:22132	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/22132	ABC trasnporter	fluoride_resistance	reactions_excel
bis-(3′,5′)-cyclic dimeric GMP-binding protein					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
fleQ					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
Flagellar biosynthesis protein FlhA					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
RHEA:11172	(6S)-5-methyl-5,6,7,8-tetrahydrofolate + L-homocysteine = (6S)-5,6,7,8-tetrahydrofolate + L-methionine	EC:2.1.1.13 methionine synthase	EC:2.1.1.13	RHEA:11172	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/11172		fluoride_resistance	reactions_excel
RHEA:34811	tetrahydrocurcumin + NADP(+) = dihydrocurcumin + NADPH + H(+)	EC:1.3.1.n3 curcumin reductase		RHEA:34811	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/34811		fluoride_resistance	reactions_excel
RHEA:34815	tetrahydrocurcumin + 2 NADP(+) = curcumin + 2 NADPH + 2 H(+)	EC:1.3.1.n3 curcumin reductase		RHEA:34815	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/34815		fluoride_resistance	reactions_excel
RHEA:34819	dihydrocurcumin + NADP(+) = curcumin + NADPH + H(+)	EC:1.3.1.n3 curcumin reductase		RHEA:34819	custom_crcB;custom_fex	https://www.rhea-db.org/rhea/34819		fluoride_resistance	reactions_excel
Methyl-accepting chemotaxis protein CtpL					custom_crcB;custom_fex		no ec number	fluoride_resistance	reactions_excel
					custom_crcB;custom_fex		Genes associated with adhesion, biofilm formation, cell membrane structure and integrity, and polysaccharide export are upregulated in response to fluoride by diverse bacteria	fluoride_resistance	reactions_excel
